Mode info:
offset  size    desc
00h     2       ModeAttr
02h     1       WinAAttr
03h     1       WinBAttr
04h     2       WinGranularity
06h     2       WinSize
08h     2       WinASegment
0Ah     2       WinBSegment
0Ch     4       WinFuncPtr
10h     2       BytesPerScanLine
12h     2       XResolution
14h     2       YResolution
16h     1       XCharSize
17h     1       YCharSize
18h     1       NumberOfPlanes
19h     1       BitsPerPixel
1Ah     1       NumberOfBanks
1Bh     1       MemoryModel
1Ch     1       BankSize
1Dh     1       NumberOfImagePages
1Eh     1       Reserved
1Fh     1       RedMaskSize
20h     1       RedFieldPosition
21h     1       GreenMaskSize
22h     1       GreenFieldPosition
23h     1       BlueMaskSize
24h     1       BlueFieldPosition
25h     1       RsvdMaskSize
26h     1       RsvdFieldPosition
27h     1       DirectColorModeInfo
28h     4       PhysBasePtr
2Ch     4       OffScreenMemOffset
30h     4       OffScreenMemSize
